,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
115,Coke\6d8f8441,es ESP,DF,Levante,34-291,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,1,0,Matches
116,Álex Collado\85dace26,es ESP,MFFW,Granada,22-295,1999,1.8,3,2,2,1,0,2,4,50.0,2,66,14,21.2,19,33,14,4,0,0,4,5,8,1,0,Matches
117,Eray Cömert\15937e17,ch SUI,DF,Valencia,24-007,1998,0.8,2,1,1,1,0,1,1,100.0,0,7,2,28.6,3,4,0,0,0,0,0,3,5,1,0,Matches
118,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,25-129,1996,18.3,56,41,34,18,4,22,62,35.5,40,482,153,31.7,178,231,73,42,7,0,35,32,88,30,2,Matches
119,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,30-274,1991,6.3,23,12,8,11,4,10,16,62.5,6,113,47,41.6,35,49,29,9,4,0,5,13,36,9,0,Matches
121,Jesús Corona\fb938d24,mx MEX,FWDF,Sevilla,29-036,1993,1.9,1,1,1,0,0,0,0,,0,16,7,43.8,3,9,4,1,0,0,1,3,4,0,0,Matches
122,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,26-339,1995,13.8,20,13,5,11,4,6,18,33.3,12,256,73,28.5,40,95,121,21,2,0,19,11,31,2,0,Matches
123,Thierry Correia\c78b352d,pt POR,DF,Valencia,22-339,1999,7.9,21,12,17,4,0,5,14,35.7,9,163,39,23.9,89,50,24,17,4,0,13,19,40,21,0,Matches
124,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,28-030,1994,9.9,19,16,8,3,8,9,28,32.1,19,257,61,23.7,73,116,68,15,2,0,13,10,29,5,0,Matches
125,Jaume Costa\808d48f3,es ESP,DF,Mallorca,33-330,1988,11.4,22,12,13,6,3,11,14,78.6,3,96,29,30.2,42,37,17,14,2,0,12,13,35,28,1,Matches
126,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,1,1,Matches
127,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,29-244,1992,5.6,8,5,2,3,3,3,8,37.5,5,63,16,25.4,12,28,23,8,0,0,8,6,14,1,1,Matches
128,Cristo\ad81ba78,es ESP,DF,Real Sociedad,21-287,2000,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,0,3,1,0,0,0,0,0,0,0,0,Matches
129,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,29-198,1992,11.0,7,2,5,2,0,4,9,44.4,5,72,22,30.6,33,36,3,10,5,0,5,23,30,30,0,Matches
130,Marc Cucurella\1daec722,es ESP,FWDF,Getafe,23-204,1998,0.3,1,1,1,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,2,3,0,0,Matches
131,Jorge Cuenca\0abc51f2,es ESP,DF,Getafe,22-086,1999,18.9,45,19,36,8,1,16,23,69.6,7,166,58,34.9,105,57,4,32,12,1,20,41,86,99,1,Matches
