,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
106,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-227,1988,0.3,0,0,0,0,0,0,1,0.0,1,7,2,28.6,1,2,4,0,0,0,0,0,0,3,0,Matches
107,Fabian Delph\111c3236,eng ENG,MF,Everton,32-082,1989,2.8,11,7,4,7,0,4,11,36.4,7,62,15,24.2,17,39,6,3,0,0,3,13,24,4,0,Matches
108,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26-302,1995,10.8,22,11,10,12,0,7,21,33.3,14,236,70,29.7,107,108,21,32,9,0,23,17,39,22,0,Matches
109,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-088,1997,17.3,31,19,18,8,5,8,26,30.8,18,340,82,24.1,77,139,124,21,2,0,19,11,42,4,0,Matches
110,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-158,1998,7.8,18,14,14,1,3,5,15,33.3,10,160,39,24.4,80,58,22,17,6,0,11,18,36,14,0,Matches
111,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22-340,1999,8.2,19,13,9,6,4,5,18,27.8,13,164,51,31.1,53,81,30,6,0,0,6,10,29,7,0,Matches
112,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-059,1996,19.0,32,13,17,9,6,10,31,32.3,21,259,60,23.2,63,112,84,36,0,0,36,28,60,15,0,Matches
113,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-273,1997,20.7,28,23,10,15,3,6,14,42.9,8,117,53,45.3,41,64,12,23,12,0,11,28,56,62,1,Matches
114,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-029,1997,1.0,0,0,0,0,0,0,3,0.0,3,13,3,23.1,4,6,3,1,0,0,1,0,0,0,0,Matches
115,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-027,1994,18.1,15,8,5,8,2,2,6,33.3,4,93,34,36.6,52,36,5,30,19,1,11,32,47,86,0,Matches
