,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
405,Paul Seguin\8872ed17,de GER,MF,Greuther Fürth,26-319,1995,18.0,36,22,12,20,4,16,34,47.1,18,283,98,34.6,87,145,51,28,4,0,24,26,62,22,0,Matches
406,Davie Selke\1238a3f9,de GER,FW,Hertha BSC,27-022,1995,5.4,4,4,0,4,0,1,6,16.7,5,129,34,26.4,10,79,40,5,1,0,4,1,5,3,0,Matches
407,Suat Serdar\b3325a30,de GER,MFFW,Hertha BSC,24-306,1997,16.0,49,27,20,26,3,11,36,30.6,25,323,98,30.3,92,177,54,24,3,0,21,29,78,9,0,Matches
408,Janni Serra\40b58bfc,de GER,FW,Arminia,23-335,1998,5.8,2,1,0,1,1,1,5,20.0,4,128,43,33.6,7,59,62,7,2,0,5,6,8,15,0,Matches
409,Zidan Sertdemir\eec1f7f4,dk DEN,MFFW,Leverkusen,17-007,2005,0.2,2,0,2,0,0,1,1,100.0,0,6,0,0.0,3,1,2,0,0,0,0,0,2,0,0,Matches
410,Nils Seufert\0da32a38,de GER,MF,Greuther Fürth,25-008,1997,1.1,2,2,1,1,0,1,1,100.0,0,21,4,19.0,9,9,3,3,1,0,2,1,3,3,0,Matches
411,Kiliann Sildillia\313254a3,fr FRA,DF,Freiburg,19-271,2002,1.2,5,3,2,3,0,2,4,50.0,2,23,9,39.1,12,9,2,3,0,0,3,2,7,5,0,Matches
412,André Silva\3effaa34,pt POR,FW,RB Leipzig,26-097,1995,15.5,9,9,1,3,5,2,6,33.3,4,193,68,35.2,4,85,104,14,2,0,12,4,13,6,0,Matches
413,Mohamed Simakan\fcb27134,fr FRA,DF,RB Leipzig,21-284,2000,14.5,28,14,19,7,2,11,23,47.8,12,179,67,37.4,102,62,15,23,9,0,14,33,61,54,1,Matches
414,Daley Sinkgraven\73000a79,nl NED,DF,Leverkusen,26-222,1995,2.6,5,2,3,2,0,2,5,40.0,3,25,10,40.0,15,7,3,4,1,0,3,2,7,3,0,Matches
415,Ellyes Skhiri\c2211709,tn TUN,MF,Köln,26-277,1995,8.6,29,21,17,11,1,12,22,54.5,10,152,55,36.2,62,72,18,23,4,0,19,21,50,21,0,Matches
416,Robert Skov\ff98492b,dk DEN,DFFW,Hoffenheim,25-267,1996,2.7,2,2,1,1,0,1,4,25.0,3,32,9,28.1,7,15,10,3,0,0,3,4,6,2,0,Matches
