,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,17.0,1,11,7,63.6,0.65,0.41,0.09,0.14,12.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,6.4,1,9,5,55.6,1.40,0.78,0.11,0.20,16.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,2.5,0,1,0,0.0,0.40,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,20.6,0,11,3,27.3,0.53,0.15,0.00,0.00,20.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,17.0,0,8,3,37.5,0.47,0.18,0.00,0.00,18.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,2.1,0,6,3,50.0,2.81,1.41,0.00,0.00,23.1,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,6.7,0,1,0,0.0,0.15,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,11.2,1,7,3,42.9,0.62,0.27,0.14,0.33,8.8,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
103,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,23-226,1998,20.4,0,13,6,46.2,0.64,0.29,0.00,0.00,19.4,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
104,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,21-004,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,19-093,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Fali Candé\3cc4bb19,gw GNB,DF,Metz,24-018,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,34-302,1987,7.8,0,6,0,0.0,0.77,0.00,0.00,,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
108,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,21-361,2000,18.9,0,11,2,18.2,0.58,0.11,0.00,0.00,19.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
109,Irvin Cardona\5e080f73,fr FRA,FW,Brest,24-187,1997,10.0,2,19,8,42.1,1.90,0.80,0.11,0.25,15.5,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
110,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,25-174,1996,14.8,0,12,5,41.7,0.81,0.34,0.00,0.00,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
111,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,23-360,1998,8.6,2,11,7,63.6,1.28,0.81,0.18,0.29,26.2,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,1,10,3,30.0,0.63,0.19,0.10,0.33,8.6,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,0,11,0,0.0,0.64,0.00,0.00,,22.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
114,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,26-026,1996,17.0,4,15,7,46.7,0.88,0.41,0.27,0.57,21.4,0,0,0,0.9,0.9,0.06,+3.1,+3.1,Matches
115,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,20-198,2001,1.1,0,2,0,0.0,1.87,0.00,0.00,,21.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
117,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,25-201,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,24-176,1997,7.2,0,10,1,10.0,1.38,0.14,0.00,0.00,19.5,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
119,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,27-051,1994,19.0,2,9,4,44.4,0.47,0.21,0.22,0.50,13.9,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
120,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,30-341,1991,2.4,0,3,0,0.0,1.23,0.00,0.00,,19.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
121,Xavier Chavalerin\279ddf6a,fr FRA,MF,Troyes,30-341,1991,17.0,5,18,7,38.9,1.06,0.41,0.28,0.71,17.3,0,0,0,1.3,1.3,0.07,+3.7,+3.7,Matches
122,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,18-178,2003,4.9,0,14,3,21.4,2.86,0.61,0.00,0.00,21.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
123,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,24-264,1997,20.4,2,14,4,28.6,0.69,0.20,0.14,0.50,21.2,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
