,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
89,Leonardo Capezzi\07ea0ef2,it ITA,MF,Salernitana,26-320,1995,1.9,81,8,17,42,25,1,78,2,3,66.7,2,0,42,154,80,6,1,0,6,5,59,39,66.1,4,Matches
90,Gianluca Caprari\54e53b7e,it ITA,FWMF,Hellas Verona,28-196,1993,17.3,1040,7,94,468,572,91,986,37,64,57.8,39,11,817,4384,2532,138,53,29,43,46,1041,807,77.5,153,Matches
91,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,34-189,1987,18.0,482,12,39,227,235,92,453,7,14,50.0,8,1,298,1214,586,37,8,13,32,15,717,373,52.0,132,Matches
92,Francesco Caputo\5bd72174,it ITA,FW,Sassuolo,34-189,1987,1.7,48,0,2,26,21,13,45,0,1,0.0,0,0,28,142,42,5,0,2,3,2,62,38,61.3,17,Matches
93,Andrea Carboni\f7e2af2c,it ITA,DF,Cagliari,21-007,2001,19.5,1068,152,510,531,90,10,1029,7,10,70.0,7,2,586,3400,2045,78,16,0,4,7,654,637,97.4,9,Matches
94,Nicolò Casale\3f5f38fb,it ITA,DF,Hellas Verona,23-362,1998,17.7,918,85,395,437,141,18,873,6,11,54.5,7,0,483,2969,1665,50,20,0,5,7,539,504,93.5,7,Matches
95,Francesco Cassata\96960855,it ITA,MF,Genoa,24-210,1997,0.1,3,0,1,1,1,0,3,0,0,,0,0,3,17,16,0,0,0,0,1,1,1,100.0,0,Matches
96,Samu Castillejo\130a7a3f,es ESP,FWMF,Milan,27-024,1995,1.4,87,2,8,33,56,8,83,0,3,0.0,0,0,64,390,210,8,5,1,1,2,67,63,94.0,11,Matches
97,Gaetano Castrovilli\0728bebe,it ITA,MF,Fiorentina,24-359,1997,7.0,318,4,59,168,120,24,313,7,8,87.5,7,0,240,1571,809,37,14,5,18,19,263,218,82.9,24,Matches
98,Danilo Cataldi\ba3d3bea,it ITA,MF,Lazio,27-189,1994,12.9,970,40,236,624,150,1,926,7,10,70.0,8,0,633,2379,843,29,13,0,6,5,748,720,96.3,9,Matches
99,Pietro Ceccaroni\4d1efb48,it ITA,DF,Venezia,26-052,1995,21.7,1336,371,931,427,57,16,1280,9,14,64.3,10,0,799,4965,2870,34,6,0,4,5,889,875,98.4,2,Matches
100,Federico Ceccherini\d9624b51,it ITA,DF,Hellas Verona,29-276,1992,15.2,905,75,369,465,130,22,875,4,10,40.0,4,0,543,2638,1378,50,19,0,13,15,576,543,94.3,22,Matches
101,Emil Ceide\98a84572,no NOR,FW,Sassuolo,20-161,2001,0.1,8,0,1,4,4,2,8,0,0,,0,0,7,67,43,2,0,1,0,1,8,7,87.5,1,Matches
102,Luca Ceppitelli\7d50454d,it ITA,DF,Cagliari,32-184,1989,12.1,724,111,375,367,29,7,704,2,2,100.0,2,0,408,1797,926,23,3,0,4,4,461,455,98.7,3,Matches
103,Damir Ceter\eade5337,co COL,FW,Cagliari,24-101,1997,0.1,2,0,0,2,0,0,2,0,0,,0,0,2,38,24,0,0,0,0,0,4,2,50.0,0,Matches
104,Julian Chabot\ae7058f9,de GER,DF,Sampdoria,23-364,1998,5.4,318,50,168,162,9,4,300,1,1,100.0,1,0,182,910,524,9,1,0,0,3,173,172,99.4,1,Matches
105,Giorgio Chiellini\e85fb9b8,it ITA,DF,Juventus,37-181,1984,10.5,778,105,379,402,44,4,755,1,1,100.0,1,0,448,2534,1476,40,12,0,5,0,541,533,98.5,0,Matches
106,Federico Chiesa\b0f7e36c,it ITA,MFFW,Juventus,24-109,1997,9.6,433,8,80,183,216,50,401,21,33,63.6,23,2,304,1922,1309,49,19,11,17,27,390,276,70.8,50,Matches
107,Vlad Chiricheș\c316607a,ro ROU,DF,Sassuolo,32-089,1989,17.6,1111,155,588,567,26,6,1072,2,4,50.0,2,1,726,3019,1584,30,6,0,8,8,783,768,98.1,0,Matches
