,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
68,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-005,1989,18.3,616,568,48,7,0,75,26,3,0,0,0,0,340,79,197,119,370,61,41,0,483,2,10,12,8,Matches
69,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-362,1987,6.7,173,169,4,0,0,28,8,3,0,0,0,0,122,30,21,36,113,8,1,13,137,0,3,7,2,Matches
70,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-221,1999,10.1,672,653,19,16,1,56,4,1,0,0,0,0,557,46,69,30,588,34,3,3,606,1,6,11,3,Matches
71,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-022,1995,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Matches
72,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-022,1995,1.9,98,83,15,4,0,10,1,2,0,0,0,0,60,22,16,4,76,4,11,1,81,0,3,4,1,Matches
73,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-052,1996,6.0,343,265,78,10,0,53,5,10,25,16,2,1,220,48,75,235,51,10,43,1,265,1,2,6,15,Matches
74,Chiquinho\dc6c2f02,pt POR,MF,Wolves,22-006,2000,0.3,12,11,1,0,0,1,1,4,0,0,0,0,5,5,2,2,9,0,1,0,7,0,0,0,2,Matches
75,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,24-133,1997,2.5,117,113,4,1,0,26,1,0,0,0,0,0,86,11,20,4,96,7,2,0,97,0,5,2,2,Matches
76,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-307,1996,11.1,790,768,22,20,0,98,14,0,0,0,0,0,644,60,86,40,695,29,1,4,716,0,7,11,4,Matches
77,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-035,2004,2.1,70,70,0,0,0,9,0,0,0,0,0,0,60,6,4,6,60,2,0,0,54,0,0,7,3,Matches
78,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-138,1989,11.3,346,338,8,6,0,37,3,3,0,0,0,0,237,38,71,246,58,22,2,1,274,3,10,7,5,Matches
79,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-183,1989,9.9,376,314,62,21,2,61,13,14,31,19,10,0,200,62,114,45,293,26,3,1,272,0,6,17,3,Matches
80,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-312,1991,1.0,43,29,14,1,0,7,0,0,0,0,0,0,19,7,17,2,26,1,13,0,29,0,0,1,1,Matches
81,Conor Coady\2928dca2,eng ENG,DF,Wolves,28-351,1993,21.8,879,853,26,25,0,70,32,2,0,0,0,0,663,48,168,28,807,38,0,1,776,2,8,15,8,Matches
82,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-123,1988,15.6,756,575,181,10,1,101,12,33,0,0,0,0,365,146,245,117,414,41,171,0,561,3,15,30,15,Matches
83,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-287,2001,5.0,162,159,3,2,0,31,3,0,0,0,0,0,79,24,59,14,113,19,1,0,117,0,7,3,2,Matches
84,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-014,2000,1.7,18,17,1,0,0,6,0,1,0,0,0,0,15,3,0,1,15,0,0,2,15,0,0,1,1,Matches
85,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-165,1991,14.2,846,821,25,21,0,83,24,1,0,0,0,0,634,78,134,663,99,51,4,4,741,2,13,10,8,Matches
86,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-231,1989,7.1,187,185,2,0,0,40,3,3,0,0,0,0,113,28,46,23,128,21,0,2,132,2,1,8,7,Matches
87,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-137,1996,8.5,186,176,10,0,2,57,8,8,9,7,1,1,114,33,39,120,37,11,0,2,118,0,1,11,4,Matches
88,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-030,1994,0.2,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,3,1,0,0,0,4,0,0,0,0,Matches
89,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-173,1992,17.9,1048,819,229,14,0,104,18,62,1,1,0,0,432,272,344,98,626,81,214,6,713,7,23,37,43,Matches
90,Philippe Coutinho\0ef89a37,br BRA,FW,Aston Villa,29-244,1992,1.9,55,53,2,0,1,16,0,3,1,1,0,0,40,7,8,7,45,0,0,1,38,0,0,5,5,Matches
91,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-058,1989,16.7,1160,942,218,34,0,113,31,38,37,9,28,0,684,217,259,893,74,23,147,5,919,4,19,41,36,Matches
92,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-066,2002,1.1,70,70,0,0,0,6,2,0,0,0,0,0,43,9,18,6,59,4,0,0,53,1,1,0,1,Matches
93,Cucho\71b47ab9,co COL,MFFW,Watford,22-297,1999,7.8,261,232,29,4,1,63,12,18,14,5,7,0,133,56,72,36,188,15,2,0,166,0,7,11,17,Matches
94,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-204,1998,18.3,1223,1021,202,10,0,168,17,51,4,2,0,0,784,271,168,738,229,39,188,7,1005,4,12,55,38,Matches
95,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-291,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Patson Daka\ca45605e,zm ZAM,FWMF,Leicester City,23-125,1998,5.7,96,91,5,0,1,30,0,2,0,0,0,0,69,15,12,23,59,3,1,1,73,0,2,6,2,Matches
97,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-298,1991,21.9,1091,884,207,34,2,147,46,31,38,28,6,0,648,233,210,178,726,40,135,3,868,5,22,27,30,Matches
