,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
101,William Carvalho\dee86451,pt POR,MF,Betis,29-310,1992,11.5,730,722,8,7,0,108,12,3,0,0,0,0,557,81,92,115,569,26,1,6,636,3,10,23,11,Matches
102,Casemiro\4d224fe8,br BRA,MF,Real Madrid,29-353,1992,18.6,1246,1215,31,29,5,172,74,7,0,0,0,0,865,151,230,137,998,51,2,10,1071,6,14,24,19,Matches
103,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12.0,407,245,162,43,0,24,10,0,0,0,0,0,161,22,224,18,308,1,0,62,261,2,16,6,4,Matches
104,Catena\274ab13c,es ESP,DF,Rayo Vallecano,27-106,1994,21.0,978,927,51,51,1,135,59,2,0,0,0,0,656,79,243,89,799,55,0,3,804,4,18,24,10,Matches
105,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,25-188,1996,0.3,15,13,2,1,0,3,1,0,0,0,0,0,12,1,2,1,13,0,1,0,13,0,1,0,0,Matches
106,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,27-261,1994,11.9,448,419,29,7,0,79,16,22,19,12,6,1,296,62,90,356,61,18,3,0,329,2,6,14,21,Matches
107,Chapela\9ed40a69,es ESP,MFFW,Cádiz,22-266,1999,4.4,90,89,1,0,0,20,8,9,1,1,0,0,57,14,19,10,70,6,0,1,57,0,6,1,5,Matches
108,Chema\7f203b54,es ESP,MF,Getafe,29-345,1992,0.5,15,13,2,2,0,7,1,0,0,0,0,0,6,2,7,8,5,1,0,0,9,0,1,0,0,Matches
109,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,31-047,1990,4.7,117,104,13,5,0,23,5,13,5,1,1,0,67,28,22,85,16,9,3,3,78,0,5,7,5,Matches
110,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,22-265,1999,5.7,187,186,1,0,2,40,3,14,0,0,0,0,147,19,21,172,8,2,1,0,137,2,4,11,9,Matches
111,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,21-343,2000,10.3,327,303,24,20,0,24,19,0,0,0,0,0,234,28,65,55,245,17,4,1,280,0,7,3,1,Matches
112,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,14.2,393,257,136,46,0,25,12,0,0,0,0,0,137,22,234,37,276,0,0,57,252,2,11,2,0,Matches
113,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,27-332,1994,7.3,314,308,6,5,1,80,18,0,0,0,0,0,210,47,57,29,248,18,1,4,263,1,6,12,5,Matches
114,Carlos Clerc\33a61a52,es ESP,DF,Levante,29-355,1992,16.8,875,715,160,16,0,98,16,37,2,1,0,0,474,216,185,631,42,51,142,2,673,4,22,35,30,Matches
115,Coke\6d8f8441,es ESP,DF,Levante,34-291,1987,0.1,13,9,4,0,0,1,1,0,0,0,0,0,6,4,3,2,5,2,4,0,12,0,0,1,0,Matches
116,Álex Collado\85dace26,es ESP,MFFW,Granada,22-295,1999,1.8,54,46,8,3,0,11,4,3,4,4,0,0,46,0,8,42,10,1,0,1,43,1,2,2,1,Matches
117,Eray Cömert\15937e17,ch SUI,DF,Valencia,24-007,1998,0.8,15,15,0,0,0,2,0,0,0,0,0,0,9,1,5,2,13,0,0,0,11,0,1,0,0,Matches
118,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,25-129,1996,18.3,940,899,41,37,3,191,39,6,0,0,0,0,675,113,152,128,722,57,1,6,789,6,18,34,15,Matches
119,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,0.1,6,3,3,1,0,1,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,Matches
120,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,30-274,1991,6.3,356,350,6,2,0,80,11,2,1,0,1,0,288,34,34,49,287,10,0,1,317,1,1,12,5,Matches
121,Jesús Corona\fb938d24,mx MEX,FWDF,Sevilla,29-036,1993,1.9,108,95,13,1,0,23,4,8,3,0,2,1,69,18,21,26,67,4,9,0,83,0,2,3,5,Matches
122,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,26-339,1995,13.8,461,439,22,1,1,97,10,18,11,5,1,0,335,72,54,72,367,10,1,7,348,1,8,20,25,Matches
123,Thierry Correia\c78b352d,pt POR,DF,Valencia,22-339,1999,7.9,301,235,66,2,0,33,6,13,0,0,0,0,128,88,85,18,190,20,64,1,213,0,6,17,11,Matches
124,Hélder Costa\f13d02a6,ao ANG,MFFW,Valencia,28-030,1994,9.9,235,224,11,1,0,38,8,29,7,2,0,3,143,38,54,159,49,19,2,1,147,1,8,13,16,Matches
125,Jaume Costa\808d48f3,es ESP,DF,Mallorca,33-330,1988,11.4,579,454,125,8,1,60,10,26,0,0,0,0,287,112,180,333,79,42,117,1,422,2,11,13,21,Matches
126,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23.0,739,577,162,34,0,51,16,0,0,0,0,0,489,35,215,385,220,1,0,125,592,0,18,12,0,Matches
