,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
109,Irvin Cardona\5e080f73,fr FRA,FW,Brest,24-187,1997,10.0,203,188,15,3,1,41,7,17,0,0,0,0,123,38,42,43,136,20,2,1,138,1,4,15,6,Matches
110,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,25-174,1996,14.8,641,500,141,4,0,92,15,36,0,0,0,0,358,167,116,59,417,21,137,1,486,0,13,20,36,Matches
111,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,23-360,1998,8.6,419,389,30,21,2,50,23,6,9,5,4,0,297,50,72,32,377,8,0,1,343,2,6,19,10,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,622,601,21,17,1,68,8,2,0,0,0,0,476,42,104,54,517,29,4,0,539,0,10,9,5,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,1001,844,157,12,1,139,26,23,1,1,0,0,619,203,179,66,744,29,144,0,792,6,12,44,25,Matches
114,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,26-026,1996,17.0,743,605,138,13,0,62,14,29,0,0,0,0,460,130,153,109,465,34,125,0,593,1,6,28,22,Matches
115,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,52,42,10,0,0,4,0,0,0,0,0,0,36,4,12,6,31,0,0,14,44,0,1,0,0,Matches
116,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,20-198,2001,1.1,44,35,9,2,0,7,2,2,1,1,0,0,26,6,12,25,8,4,6,0,30,0,0,1,2,Matches
117,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,25-201,1996,0.2,7,6,1,0,0,1,0,0,0,0,0,0,4,2,1,1,3,1,1,0,3,0,1,0,1,Matches
118,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,24-176,1997,7.2,401,383,18,10,0,62,11,9,6,6,0,0,268,49,84,278,88,24,2,1,329,2,5,9,8,Matches
119,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,27-051,1994,19.0,828,782,46,43,0,79,46,1,0,0,0,0,562,46,220,64,704,32,3,3,699,0,13,13,5,Matches
120,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,30-341,1991,2.4,98,86,12,3,0,15,6,5,0,0,0,0,53,19,26,67,16,4,9,1,80,0,4,1,3,Matches
121,Xavier Chavalerin\279ddf6a,fr FRA,MF,Troyes,30-341,1991,17.0,611,581,30,13,0,61,22,19,14,11,3,0,423,66,122,454,127,19,2,3,481,3,7,25,13,Matches
122,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,18-178,2003,4.9,257,214,43,3,0,46,17,10,25,9,8,3,186,30,41,110,132,2,11,1,196,1,8,10,7,Matches
123,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,24-264,1997,20.4,1110,1070,40,29,0,154,65,5,3,2,1,0,810,101,199,125,940,35,2,2,934,3,28,29,18,Matches
124,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,20-140,2001,20.5,784,767,17,14,1,75,23,9,0,0,0,0,558,109,117,116,607,40,1,6,664,2,12,14,13,Matches
125,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,23-250,1998,2.1,92,83,9,1,0,7,4,3,5,2,3,0,64,17,11,8,75,4,3,2,79,0,0,1,3,Matches
126,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,29-139,1992,20.5,1125,810,315,24,1,108,52,81,110,34,56,4,553,259,313,114,780,38,181,3,769,4,25,48,40,Matches
127,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,25-232,1996,5.5,155,149,6,2,0,38,0,11,0,0,0,0,99,31,25,20,111,6,3,1,106,0,2,12,7,Matches
128,Abdu Conté\cfa49cc1,pt POR,DFMF,Troyes,23-324,1998,3.0,137,105,32,5,0,17,2,2,0,0,0,0,81,31,25,88,18,1,27,0,101,0,3,9,9,Matches
129,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,31-102,1990,8.2,317,212,105,14,0,29,7,21,8,0,6,2,123,85,109,23,193,15,83,0,207,0,7,3,18,Matches
