,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
83,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,22-179,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.97,0.97,0.00,0.97,Matches
84,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22-260,1999,1,1,64,0.7,0,1,0,0,0,0,0,0.00,1.41,1.41,0.00,1.41,0.7,0.7,0.0,0.7,0.94,0.00,0.94,0.94,0.94,Matches
85,Rafael Czichos\b0a0698b,de GER,DF,Köln,31-273,1990,17,16,1402,15.6,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.4,0.7,0.01,0.03,0.04,0.01,0.04,Matches
86,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22-284,1999,4,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29-273,1992,16,11,801,8.9,3,3,3,0,0,3,0,0.34,0.34,0.67,0.34,0.67,2.6,2.6,2.0,4.6,0.30,0.23,0.52,0.30,0.52,Matches
88,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,26-041,1996,15,14,1193,13.3,2,1,2,0,0,5,1,0.15,0.08,0.23,0.15,0.23,0.9,0.9,2.4,3.3,0.07,0.18,0.25,0.07,0.25,Matches
89,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19-364,2002,8,8,631,7.0,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
90,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,31-187,1990,15,14,1078,12.0,1,4,1,0,0,4,0,0.08,0.33,0.42,0.08,0.42,0.9,0.9,2.2,3.1,0.08,0.18,0.26,0.08,0.26,Matches
91,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,21-101,2000,16,15,1266,14.1,0,3,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,1.6,1.6,3.2,4.9,0.12,0.23,0.35,0.12,0.35,Matches
92,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,30-007,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.29,0.00,0.29,0.29,0.29,Matches
