,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
102,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,27-068,1994,14.4,753,14,92,402,305,48,716,31,51,60.8,35,0,529,2366,865,47,15,6,38,33,670,493,73.6,107,Matches
103,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,26-167,1995,9.8,402,6,63,191,175,30,367,14,30,46.7,15,1,240,1239,590,34,10,3,19,20,329,240,72.9,56,Matches
104,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,29-275,1992,5.3,327,17,89,177,80,3,261,0,1,0.0,0,0,163,915,501,26,9,1,5,6,195,170,87.2,11,Matches
105,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,25-065,1996,13.0,579,40,136,303,164,22,571,4,9,44.4,4,0,311,1437,736,31,8,2,11,11,370,304,82.2,35,Matches
106,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,19-175,2002,0.3,15,0,1,8,7,1,15,0,0,,0,0,11,33,14,2,1,0,4,0,22,12,54.5,7,Matches
107,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,26-262,1995,3.4,237,17,112,98,44,3,205,6,9,66.7,7,0,118,760,468,22,8,1,7,4,120,110,91.7,4,Matches
108,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,21-312,2000,6.8,296,5,49,155,112,21,289,4,10,40.0,4,0,176,673,354,21,8,2,21,16,306,201,65.7,48,Matches
109,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,25-134,1996,17.3,1309,148,706,643,37,18,1246,1,3,33.3,1,0,866,4001,2133,39,6,0,1,2,892,883,99.0,3,Matches
110,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,24-362,1997,13.2,534,1,13,301,260,59,518,24,51,47.1,25,4,422,1504,727,43,19,5,41,53,652,417,64.0,125,Matches
111,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,24-081,1997,0.4,24,0,4,4,17,6,24,0,1,0.0,0,0,14,67,53,3,1,1,0,0,25,18,72.0,8,Matches
112,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,29-002,1993,20.8,1392,61,362,844,262,28,1378,22,35,62.9,25,0,992,4219,2139,82,20,3,23,42,1053,951,90.3,36,Matches
113,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,45,42,45,0,0,0,31,0,0,,0,0,16,76,57,0,0,0,0,0,18,18,100.0,0,Matches
114,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,18-197,2003,1.4,55,0,1,26,32,7,55,3,5,60.0,4,1,40,149,47,3,3,1,6,1,69,47,68.1,21,Matches
115,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,18-166,2003,0.8,55,0,6,24,27,3,55,2,2,100.0,2,0,46,160,74,6,2,1,6,2,41,36,87.8,8,Matches
116,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,22-330,1999,0.4,13,0,2,10,3,1,12,0,0,,0,0,9,50,36,1,0,0,0,1,10,8,80.0,1,Matches
117,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,24-155,1997,5.6,330,57,205,133,15,2,318,4,4,100.0,4,0,194,1163,467,6,2,0,2,0,202,198,98.0,1,Matches
118,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,25-302,1996,3.1,154,12,24,68,71,8,149,3,5,60.0,3,1,111,497,229,10,4,1,2,9,120,100,83.3,9,Matches
119,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,33-010,1989,1.6,60,3,12,27,27,7,59,3,7,42.9,3,1,32,100,72,5,2,1,5,3,58,38,65.5,7,Matches
120,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,823,703,819,4,0,0,620,1,1,100.0,1,0,437,2695,1475,0,0,0,0,0,417,417,100.0,0,Matches
121,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,30-111,1991,10.6,555,7,43,277,271,41,519,15,26,57.7,17,0,373,1881,1062,68,23,7,25,13,538,413,76.8,90,Matches
122,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,27-007,1995,9.5,507,4,62,281,208,30,490,10,19,52.6,12,1,361,2108,1211,54,25,7,18,16,463,371,80.1,51,Matches
123,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,24-040,1998,0.6,25,2,13,13,2,0,21,1,1,100.0,1,0,15,70,47,1,1,0,0,0,15,13,86.7,0,Matches
124,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,26-158,1995,6.2,331,27,96,153,107,1,274,4,5,80.0,4,0,151,783,399,17,7,0,6,1,204,168,82.4,7,Matches
