,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
91,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-058,1989,17,17,1500,16.7,1,2,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,0.4,0.4,2.1,2.5,0.02,0.13,0.15,0.02,0.15,Matches
92,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-066,2002,4,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
93,Cucho\71b47ab9,co COL,MFFW,Watford,22-297,1999,17,6,703,7.8,2,1,2,0,0,0,0,0.26,0.13,0.38,0.26,0.38,1.3,1.3,1.3,2.6,0.17,0.16,0.33,0.17,0.33,Matches
94,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-204,1998,19,19,1649,18.3,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.9,2.2,0.02,0.10,0.12,0.02,0.12,Matches
95,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-291,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
96,Patson Daka\ca45605e,zm ZAM,FWMF,Leicester City,23-125,1998,10,5,512,5.7,4,3,4,0,0,0,0,0.70,0.53,1.23,0.70,1.23,3.2,3.2,1.4,4.6,0.57,0.24,0.82,0.57,0.82,Matches
97,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-298,1991,22,22,1967,21.9,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.5,1.5,1.9,3.4,0.07,0.09,0.16,0.07,0.16,Matches
98,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22-330,1999,13,8,823,9.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.04,0.05,0.08,0.04,0.08,Matches
99,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
100,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-111,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
