,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
136,Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,24-272,1997,4.4,27,6.11,15,7,3,1,1,0,3,0.68,1,2,0,0,0,0,Matches
137,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,18-254,2003,2.1,5,2.34,0,3,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
138,Memphis Depay\8f696594,nl NED,FW,Barcelona,27-363,1994,15.3,62,4.05,34,16,5,3,4,0,11,0.72,5,1,2,1,2,0,Matches
139,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,21-100,2000,12.0,32,2.67,23,1,7,0,1,0,3,0.25,3,0,0,0,0,0,Matches
140,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,25-087,1996,9.7,22,2.27,16,0,3,2,0,1,6,0.62,4,0,1,1,0,0,Matches
141,Mouctar Diakhaby\d2110326,fr FRA,DF,Valencia,25-054,1996,11.3,4,0.35,3,0,0,0,1,0,1,0.09,1,0,0,0,0,0,Matches
142,Javier Díaz\17a1299d,es ESP,GK,Sevilla,24-272,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Víctor Díaz\3624ce4c,es ESP,DF,Granada,33-244,1988,8.7,3,0.35,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
144,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,24-163,1997,5.3,16,3.01,11,0,1,0,3,1,0,0.00,0,0,0,0,0,0,Matches
145,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,28-048,1993,18.8,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,34-279,1987,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Djené\a4971d84,tg TOG,DF,Getafe,30-042,1991,20.6,17,0.82,11,0,2,1,1,2,2,0.10,2,0,0,0,0,0,Matches
148,Naïs Djouahra\3594a357,fr FRA,MF,Real Sociedad,22-080,1999,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,30-018,1992,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,31-098,1990,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,21-041,2001,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Domingos Duarte\93090f69,pt POR,DF,Granada,26-338,1995,7.6,1,0.13,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,32-253,1989,10.3,2,0.19,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,26-116,1995,18.0,25,1.39,12,9,0,0,2,2,3,0.17,0,2,0,0,1,0,Matches
155,Unai Dufur\c261b5dd,es ESP,DF,Osasuna,23-041,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Hugo Duro\37e103f8,es ESP,MFFW,Valencia,22-093,1999,13.7,23,1.68,17,0,1,0,4,1,6,0.44,2,0,1,0,2,1,Matches
157,Hugo Duro\37e103f8,es ESP,DFMF,Getafe,22-093,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
