,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
135,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-111,1998,1,29,29,1.3,0.3,0,,0,1,29,0,0.00,0,1,-1,-3.10,-2.55,0.1,0.7,-0.6,-1.89,-1.77,Matches
136,Ben Davies\44781702,wls WAL,DF,Tottenham,28-293,1993,12,1021,85,54.0,11.3,11,90,11,1,31,8,1.50,16,17,-1,-0.09,-0.30,21.0,13.3,+7.7,+0.68,+0.53,Matches
137,Tom Davies\9228b07c,eng ENG,MF,Everton,23-226,1998,5,158,32,8.4,1.8,1,90,1,4,17,5,1.00,2,5,-3,-1.71,-1.19,3.4,3.9,-0.5,-0.29,-0.04,Matches
138,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23-363,1998,1,12,12,0.6,0.1,0,,0,1,12,5,0.00,0,0,0,0.00,+0.18,0.1,0.0,+0.1,+0.71,+1.04,Matches
139,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-281,1990,21,1613,77,74.7,17.9,17,90,17,4,21,3,1.76,31,25,+6,+0.33,-0.49,24.6,23.7,+0.9,+0.05,-0.50,Matches
140,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-228,1991,18,1187,66,55.0,13.2,13,84,8,5,19,1,2.33,31,10,+21,+1.59,-0.44,26.0,11.0,+15.0,+1.14,-0.88,Matches
141,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-227,1988,2,25,13,1.3,0.3,0,,0,2,13,0,1.50,0,1,-1,-3.60,-2.82,0.6,1.4,-0.7,-2.61,-1.93,Matches
142,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,19-003,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
143,Fabian Delph\111c3236,eng ENG,MF,Everton,32-082,1989,6,249,42,13.2,2.8,3,59,0,3,24,3,0.33,1,4,-3,-1.08,-0.54,1.7,4.6,-2.9,-1.04,-0.91,Matches
144,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26-302,1995,18,969,54,48.9,10.8,10,90,9,8,9,4,1.72,10,8,+2,+0.19,+0.19,9.7,15.8,-6.1,-0.57,-0.49,Matches
145,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-088,1997,20,1553,78,78.4,17.3,19,80,9,1,27,0,0.70,19,32,-13,-0.75,+0.30,17.4,28.9,-11.5,-0.67,+0.18,Matches
146,Halil Dervişoğlu\9d8cf204,tr TUR,FW,Brentford,22-065,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
147,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-158,1998,12,705,59,37.3,7.8,7,89,5,5,17,8,1.25,13,12,+1,+0.13,+0.58,12.5,16.4,-3.9,-0.50,-0.20,Matches
148,Amad Diallo\9dc96f10,ci CIV,FW,Manchester Utd,19-215,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
149,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22-340,1999,17,740,44,35.7,8.2,7,84,6,10,16,5,1.41,11,14,-3,-0.36,-0.09,11.3,11.9,-0.6,-0.07,+0.11,Matches
150,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-059,1996,20,1707,85,86.2,19.0,20,85,16,0,,0,1.15,24,38,-14,-0.74,-0.08,25.2,32.7,-7.5,-0.40,+0.42,Matches
151,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-273,1997,22,1862,85,86.2,20.7,21,88,19,1,19,2,2.45,48,14,+34,+1.64,-1.07,46.7,15.1,+31.6,+1.53,-0.04,Matches
152,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-029,1997,1,89,89,4.3,1.0,1,89,0,0,,0,3.00,2,0,+2,+2.02,+0.25,2.8,0.3,+2.4,+2.47,+1.05,Matches
153,Thomas Dickson-Peters\f119a610,sct SCO,FW,Norwich City,19-148,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
154,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-027,1994,19,1631,86,86.3,18.1,19,86,18,0,,0,1.74,23,19,+4,+0.22,+1.26,27.8,17.5,+10.3,+0.57,+0.99,Matches
155,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28-206,1993,3,270,90,13.6,3.0,3,90,3,0,,0,1.67,6,5,+1,+0.33,+0.60,4.5,4.2,+0.3,+0.11,+0.50,Matches
156,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-206,1993,13,1170,90,61.9,13.0,13,90,13,0,,1,1.15,16,22,-6,-0.46,+0.41,16.6,18.4,-1.9,-0.14,+0.27,Matches
157,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-218,1991,21,1890,90,91.3,21.0,21,90,21,0,,0,2.24,55,16,+39,+1.86,+0.86,53.1,19.7,+33.4,+1.59,+1.47,Matches
158,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-033,1997,8,716,90,33.1,8.0,8,90,7,0,,16,1.63,16,13,+3,+0.38,-0.12,12.7,11.8,+1.0,+0.12,-0.08,Matches
159,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-241,1998,8,430,54,20.8,4.8,5,73,2,3,22,6,0.88,3,7,-4,-0.84,-0.67,6.2,7.4,-1.2,-0.25,-0.13,Matches
160,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-039,2003,3,32,11,1.7,0.4,0,,0,3,11,6,1.67,1,1,0,0.00,+0.63,0.4,0.6,-0.2,-0.69,-0.45,Matches
161,Owen Dodgson\2e590065,eng ENG,DF,Burnley,18-329,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
162,Matt Doherty\d557d734,ie IRL,DFMF,Tottenham,30-026,1992,6,237,40,12.5,2.6,1,90,1,5,29,12,1.83,4,3,+1,+0.38,+0.38,4.3,2.3,+2.0,+0.76,+0.38,Matches
163,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-054,1997,19,1656,87,83.6,18.4,19,87,17,0,,0,2.05,34,15,+19,+1.03,+3.81,30.6,21.3,+9.3,+0.51,+2.25,Matches
164,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,29-041,1993,16,1414,88,74.8,15.7,16,88,15,0,,0,1.13,21,25,-4,-0.25,+1.45,19.3,20.3,-1.0,-0.06,+0.74,Matches
165,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-124,1997,9,342,38,16.5,3.8,4,67,0,5,15,12,0.44,3,8,-5,-1.32,+0.09,3.8,7.0,-3.3,-0.86,-0.02,Matches
166,Thomas Doyle\5526deb1,eng ENG,MF,Manchester City,20-117,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
167,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-065,2001,3,128,43,6.5,1.4,1,90,1,2,19,7,1.00,1,6,-5,-3.52,-2.98,1.8,4.4,-2.6,-1.85,-1.49,Matches
168,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10,900,90,45.5,10.0,10,90,10,0,,3,1.20,9,17,-8,-0.80,+0.20,9.8,16.4,-6.6,-0.66,+0.11,Matches
169,Shane Duffy\7314bba4,ie IRL,DF,Brighton,30-041,1992,14,1165,83,58.8,12.9,12,90,12,2,43,3,1.57,14,12,+2,+0.15,+0.38,13.7,13.4,+0.3,+0.02,+0.19,Matches
170,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,30-138,1991,2,152,76,7.7,1.7,2,76,1,0,,0,2.00,1,1,0,0.00,+0.98,1.9,2.1,-0.1,-0.07,+0.70,Matches
171,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,30-082,1991,14,1260,90,63.6,14.0,14,90,14,0,,1,1.36,13,15,-2,-0.14,-0.39,15.8,17.2,-1.3,-0.09,-0.10,Matches
172,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23,2070,90,95.8,23.0,23,90,23,0,,0,2.48,55,14,+41,+1.78,-0.22,51.6,15.7,+35.9,+1.56,+0.65,Matches
173,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,24-026,1998,20,1173,59,56.7,13.0,14,77,4,6,15,0,1.15,21,18,+3,+0.23,+0.83,18.0,15.8,+2.1,+0.16,+0.27,Matches
174,Samuel Edozie\007414dd,eng ENG,FW,Manchester City,19-014,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
175,CJ Egan-Riley\d313e8ff,eng ENG,DF,Manchester City,19-040,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
176,Pierre Ekwah Elimby\830371be,fr FRA,DF,West Ham,20-027,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
177,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-290,2002,6,256,43,12.4,2.8,3,76,1,3,9,3,1.83,6,2,+4,+1.41,+1.31,4.2,3.6,+0.6,+0.22,+0.23,Matches
178,Rob Elliot\b1b25949,ie IRL,GK,Watford,35-287,1986,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
179,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-313,2003,5,282,56,13.6,3.1,3,81,2,2,20,0,2.60,6,1,+5,+1.60,-0.22,9.9,3.3,+6.6,+2.11,+0.75,Matches
180,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-215,1992,7,176,25,8.9,2.0,1,90,1,6,14,10,1.29,4,6,-2,-1.02,-1.57,3.3,4.5,-1.2,-0.60,-0.81,Matches
181,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-191,1994,16,1040,65,50.2,11.6,11,83,6,5,24,4,1.38,14,14,0,0.00,+0.61,19.2,13.0,+6.2,+0.54,+1.36,Matches
182,Emerson\df8b52a5,br BRA,DF,Tottenham,23-028,1999,16,1328,83,70.3,14.8,15,86,12,1,45,1,1.50,20,21,-1,-0.07,-0.39,24.5,16.0,+8.6,+0.58,+0.50,Matches
183,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-094,1995,6,371,62,18.7,4.1,4,87,3,2,13,0,1.17,3,6,-3,-0.73,+0.11,3.1,5.2,-2.1,-0.50,+0.25,Matches
184,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,34-039,1988,10,752,75,39.8,8.4,9,80,7,1,30,1,1.40,13,16,-3,-0.36,-0.20,12.3,14.0,-1.7,-0.20,+0.28,Matches
185,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,23-227,1998,5,136,27,6.6,1.5,1,64,0,4,18,5,0.40,1,2,-1,-0.66,-0.57,1.0,2.7,-1.7,-1.12,-1.25,Matches
186,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23,2070,90,95.8,23.0,23,90,23,0,,0,1.74,42,30,+12,+0.52,+1.52,33.7,28.0,+5.7,+0.25,+1.73,Matches
187,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-111,1993,17,1432,84,69.2,15.9,16,88,14,1,30,0,2.18,39,14,+25,+1.57,-0.69,39.5,15.3,+24.1,+1.52,+0.17,Matches
188,Josh Feeney\185321d3,eng ENG,DF,Aston Villa,16-281,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
189,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,31-009,1991,15,1128,75,57.0,12.5,14,79,8,1,25,0,0.60,12,25,-13,-1.04,-0.51,12.6,22.0,-9.4,-0.75,-0.10,Matches
190,Evan Ferguson\4596da74,ie IRL,FW,Brighton,17-115,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
191,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,21-128,2000,1,9,9,0.4,0.1,0,,0,1,9,3,0.00,0,0,0,0.00,+0.13,0.0,0.6,-0.6,-5.90,-5.97,Matches
192,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-156,1994,22,1858,84,89.8,20.6,21,87,13,1,31,0,1.64,32,30,+2,+0.10,-1.60,30.4,31.5,-1.1,-0.05,-0.68,Matches
